"Maker","Model","Type","Fuel","Price","Cylinders","Displacement","DriveWheel","BHP","Torque","Acceleration","TopSpeed","MPG","Weight","Length","Width","Height","AdaptiveHeadlights","AdjustableSteering","AlarmSystem","Automatic","Bluetooth","ClimateControl","CruiseControl","ElectricSeats","Leather","ParkingSensors","PowerSteering","SatNav","ESP","Verdict","Origin"
"Skoda","Fabia","Fabia 1.6 TDI CR 105 SE 5d","Diesel",13600,4,1598,"Front",105,184,10.9,117,67,1219,4000,1642,1498,"no","standard","standard","no","optional","no","optional","no","no","optional","standard","optional","optional",7,"Europe"
"Skoda","Octavia","Octavia 1.4 TSI 140 Elegance 5d","Petrol",20240,4,1395,"Front",140,184,8.1,134,53,1180,4659,1814,1461,"no","standard","standard","no","standard","standard","standard","optional","standard","no","standard","standard","standard",7,"Europe"
"Skoda","Roomster","Roomster 1.2 TSI 105 SE 5d","Petrol",14470,4,1197,"Front",105,129,10.9,114,49,1237,4214,1684,1607,"no","standard","standard","optional","optional","optional","optional","no","optional","standard","standard","no","optional",5,"Europe"
"Skoda","Yeti","Yeti 1.2 TSI 105 2WD Elegance 5d","Petrol",18925,4,1197,"Front",105,129,11.8,109,44,1345,4223,1793,1691,"standard","standard","standard","optional","standard","standard","standard","optional","standard","standard","standard","optional","optional",8,"Europe"
"Smart","fortwo","ForTwo 0.0 Electric Drive 2d coupe sale&care",NA,12275,NA,NA,"Rear",73,95,11.5,78,NA,NA,2700,1559,1542,"no","no","no/optional","standard","no","no","optional","no","no","no","standard","standard","standard",6,"Europe"
"Ssangyong","Rodius","Rodius 2.0D ES 5d","Diesel",17995,4,1998,"Rear",155,265,0,105,38,2059,5125,1915,1845,"no","no","standard","optional","standard","standard","no","no","standard","optional","standard","optional","standard",1,"Asia"
"Subaru","BRZ","BRZ 2.0 SE 2d","Petrol",24995,4,1998,"Rear",200,151,7.6,130,36,1200,4240,1775,1425,"no","no","no/optional","optional","no","standard","standard","no","no","no","standard","optional","standard",9,"Asia"
"Subaru","Forester","Forester 2.0 XE Premium 5d","Petrol",27495,4,1995,"4WD",150,146,10.6,118,43,1477,4595,1795,1735,"standard","standard","standard","no","standard","standard","standard","no","no","standard","standard","no","standard",5,"Asia"
"Subaru","Legacy Outback","Outback 2.0D SE 5d","Diesel",30070,4,1998,"4WD",150,258,9.7,120,44,1573,4775,1820,1605,"standard","standard","standard","no","no","standard","standard","standard","no","no","standard","optional","standard",6,"Asia"
"Subaru","XV","XV 2.0D SE 5d","Diesel",23995,4,1998,"4WD",147,258,9.3,120,50,1415,4450,1780,1615,"no","standard","no/optional","no","standard","standard","standard","no","no","no","standard","no","standard",5,"Asia"
"Suzuki","Alto","Alto 1.0 12v SZ3 5d","Petrol",8399,3,996,"Front",68,66,13.5,96,65,NA,3500,1600,1470,"no","no","no/optional","no","no","no","no","no","no","no","standard","no","no",3,"Asia"
"Suzuki","Grand Vitara","Grand Vitara 2.4 SZ4 5d","Petrol",18895,4,2393,"4WD",166,167,11.7,115,32,1569,4500,1880,1695,"no","no","no/optional","no","no","standard","standard","no","no","no","standard","no","standard",3,"Asia"
"Suzuki","Jimny","Jimny 1.3 SZ3 3d","Petrol",11995,4,1328,"4WD",84,81,14.1,87,39,1158,3665,1645,1705,"no","no","no/optional","no","no","no","no","no","no","no","standard","no","no",1,"Asia"
"Suzuki","Splash","Splash 1.2 SZ3 5d","Petrol",10799,4,1242,"Front",94,87,12,109,55,1050,3775,1680,1590,"no","no","no/optional","no","no","no","no","no","no","no","standard","no","no",5,"Asia"
"Suzuki","Swift","Swift 1.2 SZ3 5d","Petrol",12499,4,1242,"Front",94,87,12.3,103,56,1020,3850,1695,1510,"no","no","no/optional","optional","no","no","no","no","no","no","standard","no","standard",6,"Asia"
"Suzuki","Swift Sport","Swift 1.6 136 Sport 3d","Petrol",13749,4,1586,"Front",136,118,8.7,121,44,1045,3890,1695,1510,"standard","standard","standard","no","standard","standard","standard","no","no","no","standard","no","standard",8,"Asia"
"Suzuki","SX4","Sx4 1.6 4WD SZ5 5d","Petrol",15899,4,1586,"4WD",120,115,11.5,109,43,1255,4150,1755,1620,"no","standard","no/optional","no","no","standard","no","no","no","no","standard","no","standard",4,"Asia"
"Toyota","Auris","Auris 1.4 D-4D Icon 5d","Diesel",18495,4,1364,"Front",89,151,12.5,112,72,1290,4275,1760,1450,"no","standard","no/optional","no","standard","no","no","no","no","standard","standard","optional","standard",5,"Asia"
"Toyota","Avensis","Avensis 2.2 D-CAT 150 Icon 4d","Diesel",24545,4,2231,"Front",150,250,9.5,127,44,1600,4710,1810,1480,"standard","standard","no/optional","standard","standard","standard","standard","no","no","no","standard","standard","standard",4,"Asia"
"Toyota","AYGO","Aygo 1.0 68 + 5d","Petrol",9450,3,998,"Front",68,68,14.2,97,65,800,3415,1615,1465,"no","no","no/optional","optional","no","no","no","no","no","no","standard","no","no",7,"Asia"
"Toyota","GT 86","GT 86 2.0 Standard 2d","Petrol",24995,4,1998,"Rear",200,151,7.7,140,36,1238,4240,1775,1285,"no","no","no/optional","optional","no","no","no","no","no","no","no","no","standard",9,"Asia"
"Toyota","iQ","IQ 1.0 IQ2 3d","Petrol",11475,3,996,"Front",67,67,14.7,93,64,845,2985,1680,1500,"no","no","no/optional","optional","optional","no","no","no","optional","optional","standard","optional","standard",7,"Asia"
"Toyota","Land Cruiser","Land Cruiser 3.0 D-4D LC3 5d","Diesel",35350,4,2982,"4WD",171,302,11.7,109,34,2125,4760,1885,1890,"no","standard","standard","standard","standard","standard","standard","no","standard","no","standard","no","standard",5,"Asia"
"Toyota","Land Cruiser V8","Land Cruiser 4.5 V8 5d","Diesel",62285,8,4461,"4WD",286,479,8.9,130,29,2555,4950,1970,1865,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",4,"Asia"
"Toyota","Prius","Prius 1.8 Hybrid T Spirit 5d","Petrol",24045,4,1798,"Front",98,104,10.4,112,70,1370,4460,1745,1490,"standard","standard","standard","standard","standard","standard","standard","no","optional","optional","standard","standard","standard",7,"Asia"
"Toyota","RAV4","RAV4 2.2 D-4D 150 AWD Icon 5d","Diesel",26495,4,2231,"4WD",150,250,9.6,118,49,1625,4570,1845,1705,"standard","standard","standard","no","standard","standard","no","no","optional","standard","standard","optional","standard",4,"Asia"
"Toyota","Verso","Verso 1.6 Icon 5d","Petrol",19945,4,1598,"Front",130,118,11.7,115,42,1430,4460,1790,1630,"no","standard","standard","no","standard","standard","standard","no","no","no","standard","optional","standard",5,"Asia"
"Toyota","Yaris","Yaris 1.33 TR 5d","Petrol",13260,4,1329,"Front",98,92,11.7,109,52,1045,3885,1695,1510,"no","no","no/optional","optional","standard","no","no","no","no","standard","standard","no","standard",6,"Asia"
"Vauxhall","Adam","Adam 1.2 ecoFLEX S/S Glam 3d","Petrol",12945,4,1229,"Front",70,85,14.9,102,56,1086,3698,1720,1484,"optional","standard","no/optional","no","standard","standard","standard","no","optional","optional","standard","optional","standard",7,"Europe"
"Vauxhall","Agila","Agila 1.0 68 S 5d","Petrol",10435,3,996,"Front",68,66,14.2,99,60,975,3740,1680,1590,"no","no","no/optional","no","no","no","no","no","no","no","standard","no","optional",5,"Europe"
"Vauxhall","Ampera","Ampera 1.4 EREV Positiv 5d","Petrol",37250,4,1400,"Front",150,273,8.7,100,235,1732,4498,1787,1439,"standard","standard","standard","standard","standard","standard","standard","no","standard","standard","standard","no","standard",7,"Europe"
"Vauxhall","Antara","Antara 2.2 CDTi 163 4WD Exclusiv 5d","Diesel",22360,4,2231,"4WD",163,258,9.9,117,42,1996,4596,1850,1761,"standard","no","no/optional","optional","optional","standard","standard","no","no","standard","standard","optional","standard",4,"Europe"
"Vauxhall","Astra","Astra 1.6 SE 5d","Petrol",20105,4,1598,"Front",115,114,10.9,118,44,NA,4419,1814,1510,"standard","standard","standard","optional","optional","optional","standard","no","no","optional","standard","optional","standard",7,"Europe"
"Vauxhall","Astra GTC","Astra 1.4T 140 S/S SRi 3d GTC","Petrol",20850,4,1364,"Front",140,147,9,125,47,NA,4419,1814,1510,"standard","standard","standard","no","optional","optional","standard","no","optional","optional","standard","optional","standard",8,"Europe"
"Vauxhall","Astra VXR","Astra 2.0T 280 VXR 3d GTC","Petrol",26995,4,1998,"Front",280,295,5.9,155,34,1475,4466,1840,1482,"no","standard","standard","no","standard","optional","no","optional","optional","optional","standard","optional","standard",8,"Europe"
"Vauxhall","Cascada","Cascada 1.6T SIDI 170 SE 2d","Petrol",26505,4,1598,"Front",170,206,9.2,135,39,NA,4696,1839,1445,"optional","standard","standard","standard","optional","optional","standard","no","optional","standard","standard","optional","standard",7,"Europe"
"Vauxhall","Corsa","Corsa 1.2 ecoFlex S/S SXi 5d","Petrol",14720,4,1229,"Front",85,85,13.6,107,55,1055,3999,1737,1488,"optional","standard","no/optional","no","no","optional","standard","no","no","optional","no","optional","optional",5,"Europe"
"Vauxhall","Corsa VXR","Corsa 1.6 T VXR 3d","Petrol",18910,4,1598,"Front",189,169,6.8,140,35,1300,4040,1713,1488,"optional","standard","no/optional","no","optional","optional","no","no","optional","optional","standard","optional","optional",7,"Europe"
"Vauxhall","Insignia","Insignia 2.0 CDTi 160 SE 4d","Diesel",25170,4,1956,"Front",160,258,8.9,135,55,NA,4830,1856,1498,"standard","standard","standard","optional","optional","standard","standard","no","optional","optional","standard","optional","standard",6,"Europe"
"Vauxhall","Insignia Sports Tourer","Insignia 2.0 CDTi 130 ecoFlex S/S SRi 5d Sports Tourer","Diesel",26060,4,1956,"Front",130,221,10.9,124,62,NA,4908,1856,1520,"standard","standard","standard","no","optional","standard","standard","no","optional","optional","standard","optional","standard",6,"Europe"
"Vauxhall","Meriva","Meriva 1.3 CDTi 75 Exclusiv 2010 5d","Diesel",18785,4,1248,"Front",75,132,16.9,99,57,1360,4288,1812,1615,"optional","standard","no/optional","no","optional","optional","standard","no","no","optional","standard","optional","standard",7,"Europe"
"Vauxhall","Mokka","Mokka 1.6 115 S/S SE 5d","Petrol",20495,4,1598,"Front",115,114,12.2,106,43,NA,4280,1775,1645,"standard","standard","standard","no","standard","standard","standard","no","standard","standard","standard","no","standard",4,"Europe"
"Vauxhall","VXR8","VXR8 6.2 V8 Clubsport 4d","Petrol",45000,8,6162,"Rear",431,405,4.9,155,21,1831,4940,1900,1470,"no","no","standard","optional","standard","standard","no","standard","optional","standard","standard","no","standard",7,"Europe"
"Vauxhall","Zafira","Zafira 1.6 Design ESP 5d","Petrol",22305,4,1598,"Front",115,114,12.5,115,42,1430,4467,1781,1645,"no","standard","no/optional","no","optional","no","optional","no","no","optional","standard","optional","standard",4,"Europe"
"Vauxhall","Zafira Tourer","Zafira Tourer 1.4T 140 S/S SE 5d","Petrol",24005,4,1364,"Front",140,162,9.9,126,44,NA,4658,1884,1685,"standard","standard","standard","no","no","standard","standard","no","no","standard","standard","optional","standard",7,"Europe"
"Volkswagen","Beetle","Beetle 2.0 TDI 140 Design 3d","Diesel",20085,4,1968,"Front",140,236,9.4,123,57,1395,4278,1808,1486,"optional","standard","standard","no","standard","optional","optional","no","no","optional","standard","optional","standard",6,"Europe"
"Volkswagen","CC","CC 2.0 TDI 140 BMT GT 4d","Diesel",27570,4,1968,"Front",140,236,9.8,132,60,NA,4802,1855,1417,"standard","standard","standard","optional","standard","no","standard","no","standard","standard","standard","standard","standard",6,"Europe"
"Volkswagen","Eos","Eos 2.0 TSI 210 Sport 2d","Petrol",28050,4,1984,"Front",210,206,7.8,147,39,1563,4423,1791,1444,"standard","standard","standard","optional","standard","optional","optional","optional","optional","standard","standard","optional","standard",7,"Europe"
"Volkswagen","Golf","Golf 1.6 TDI 105 SE 3d","Diesel",20055,4,1598,"Front",105,184,10.7,119,74,1295,4255,1799,1452,"standard","standard","standard","no","standard","optional","standard","no","optional","optional","standard","optional","standard",7,"Europe"
"Volkswagen","Golf Plus","Golf Plus 1.6 TDI 105 BlueTech S 5d","Diesel",19590,4,1598,"Front",105,184,12.1,116,65,1450,4204,1759,1592,"optional","standard","no/optional","optional","no","no","no","no","no","no","standard","no","standard",4,"Europe"
"Volkswagen","Jetta","Jetta 1.4 TSI 160 SE 4d","Petrol",19380,4,1390,"Front",160,177,8.3,137,44,1411,4644,1778,1482,"no","standard","standard","optional","optional","optional","no","no","optional","optional","standard","optional","standard",4,"Europe"
"Volkswagen","Passat","Passat 1.8 TSI 160 Sport 4d","Petrol",23015,4,1798,"Front",160,184,8.5,137,40,1502,4769,1820,1470,"standard","standard","standard","optional","standard","standard","standard","no","optional","optional","standard","standard","standard",6,"Europe"
"Volkswagen","Phaeton","Phaeton 3.0 TDI V6 240 4MOTION LWB 4d","Diesel",50250,6,2967,"4WD",240,367,8.3,147,33,2315,5179,1903,1450,"standard","standard","standard","standard","optional","standard","standard","standard","standard","standard","standard","standard","standard",4,"Europe"
"Volkswagen","Polo","Polo 1.2 TDI 75 Match Edition 3d","Diesel",14265,3,1199,"Front",75,144,13.9,106,72,1199,NA,NA,NA,"no","standard","standard","no","standard","no","standard","no","no","standard","standard","optional","standard",6,"Europe"
"Volkswagen","Scirocco","Scirocco 2.0 TSI 210 GT 3d","Petrol",26510,4,1984,"Front",210,207,6.9,149,38,1373,4256,1810,1404,"standard","standard","standard","optional","standard","standard","optional","optional","standard","standard","standard","standard","standard",8,"Europe"
"Volkswagen","Sharan","Sharan 2.0 TDI 170 SE 2011 5d","Diesel",28325,4,1968,"Front",170,258,9.8,130,48,1794,4854,1904,1720,"standard","standard","standard","optional","standard","standard","standard","standard","optional","standard","standard","optional","standard",7,"Europe"
"Volkswagen","Tiguan","Tiguan 1.4 TSI 160 4Motion SE 5d","Petrol",25110,4,1390,"4WD",160,177,9.2,123,37,1631,4433,1809,1703,"standard","standard","standard","no","standard","standard","optional","optional","optional","standard","standard","optional","standard",6,"Europe"
"Volkswagen","Touareg","Touareg 3.0 V6 TDI 245 Altitude 5d","Diesel",43515,6,2967,"4WD",245,406,7.8,135,39,2174,4795,1940,1732,"standard","standard","standard","standard","standard","standard","standard","optional","standard","standard","standard","standard","standard",7,"Europe"
"Volkswagen","Touran","Touran 1.6 TDI 105 SE 2010 5d","Diesel",21810,4,1598,"Front",105,185,12.8,114,55,1539,4397,1794,1634,"no","standard","standard","optional","optional","optional","standard","no","optional","standard","standard","optional","standard",5,"Europe"
"Volkswagen","Up","Up 1.0 75 High Up 3d","Petrol",10900,3,999,"Front",75,70,13.2,106,60,929,3540,1641,1489,"no","no","no/optional","optional","no","no","optional","no","no","optional","standard","no","standard",8,"Europe"
"Volvo","S60","S60 2.0 D3 136 SE Lux 4d","Diesel",28845,5,1984,"Front",136,258,10.2,127,65,1577,4628,1865,1484,"no","standard","standard","optional","standard","standard","standard","standard","standard","standard","standard","optional","standard",6,"Europe"
"Volvo","S80","S80 2.4 D5 215 SE Lux 4d","Diesel",34320,5,2400,"Front",215,309,7.6,143,61,1671,4851,1861,1493,"standard","standard","standard","no","standard","standard","standard","standard","standard","standard","standard","standard","standard",4,"Europe"
"Volvo","V40","V40 2.0 D4 177 R-Design 5d","Diesel",24795,5,1984,"Front",177,324,8.2,137,65,1484,NA,NA,NA,"no","standard","standard","optional","standard","no","optional","optional","no","optional","standard","optional","standard",9,"Europe"
"Volvo","V60","V60 2.4 D5 215 SE 5d","Diesel",30945,5,2400,"Front",215,309,7.5,143,61,1655,4628,1865,1484,"no","standard","standard","optional","standard","standard","standard","no","optional","standard","standard","optional","standard",6,"Europe"
"Volvo","V70","V70 2.0 D4 163 R-Design 5d","Diesel",31670,5,1984,"Front",163,295,9.9,130,62,1734,4823,1861,1547,"no","standard","standard","no","standard","standard","standard","no","standard","no","standard","optional","standard",5,"Europe"
"Volvo","XC60","XC60 2.4 D5 215 AWD R-Design 5d","Diesel",34945,5,2400,"4WD",215,309,8.4,130,50,1847,4627,1891,1713,"optional","standard","standard","optional","standard","standard","standard","optional","standard","optional","standard","optional","standard",7,"Europe"
"Volvo","XC70","XC70 2.0 D3 DRIVe 163 SE Lux 5d","Diesel",33715,5,1984,"Front",163,295,9.6,127,51,1764,4838,1861,1604,"no","standard","standard","optional","standard","standard","standard","standard","standard","standard","standard","standard","standard",6,"Europe"
"Volvo","XC90","XC90 2.4 D5 200 R-Design 5d","Diesel",41295,5,2400,"4WD",200,309,9.7,127,34,2129,4807,NA,1784,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","optional","standard",7,"Europe"
